Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,salary
2848,Lonny Baxter,203.0,117.0,University of Maryland,1979.0,Silver Spring,Maryland,125056.0
2849,Carlos Boozer,206.0,117.0,Duke University,1981.0,Aschaffenburg,Germany,123594.0
2850,J.R. Bremer,206.0,117.0,,1981.0,,,216381.0
2851,Devin Brown,185.0,72.0,Jacksonville University,1968.0,Jacksonville,Florida,58535.0
2852,Pat Burke,211.0,113.0,Auburn University,1973.0,Dublin,Ireland,169399.0
2853,Caron Butler,201.0,103.0,University of Connecticut,1980.0,Racine,Wisconsin,124034.0
2854,Rasual Butler,201.0,97.0,La Salle University,1979.0,Philadelphia,Pennsylvania,45517.0
2855,Dan Dickau,183.0,86.0,Gonzaga University,1978.0,Portland,Oregon,165151.0
2856,Juan Dixon,190.0,74.0,University of Maryland,1978.0,Baltimore,Maryland,95045.0
2857,Melvin Ely,208.0,117.0,"California State University, Fresno",1978.0,Harvey,Illinois,27607.0
2858,Reggie Evans,203.0,111.0,University of Iowa,1980.0,Pensacola,Florida,39836.0
2859,Dan Gadzuric,211.0,108.0,"University of California, Los Angeles",1978.0,Den Haag,Netherlands,114762.0
2860,Manu Ginobili,198.0,92.0,,1977.0,Bahia Blanca,Argentina,23205.0
2861,Gordan Giricek,198.0,95.0,,1977.0,Zagreb,Croatia,119984.0
2862,Drew Gooden,208.0,113.0,University of Kansas,1981.0,Oakland,California,187995.0
2863,Marcus Haislip,208.0,104.0,University of Tennessee,1980.0,Lewisburg,Tennessee,88376.0
2864,Adam Harrington,196.0,90.0,Auburn University,1980.0,Bernardston,Massachusetts,142318.0
2865,Junior Harrington,193.0,81.0,Wingate University,1980.0,Wagram,North Carolina,19981.0
2866,Juaquin Hawkins,201.0,99.0,"California State University, Long Beach",1973.0,Gardena,California,143845.0
2867,Nene Hilario,211.0,113.0,,1982.0,Sao Carlos,Brazil,242048.0
2868,Nate Huffman,216.0,111.0,Central Michigan University,1975.0,Battle Creek,Michigan,247270.0
2869,Ryan Humphrey,203.0,106.0,University of Notre Dame,1979.0,Tulsa,Oklahoma,226705.0
2870,Casey Jacobsen,198.0,97.0,Stanford University,1981.0,Glendora,California,176212.0
2871,Marko Jaric,201.0,89.0,,1978.0,Belgrade,Serbia,239154.0
2872,Chris Jefferies,203.0,102.0,"California State University, Fresno",1980.0,Fresno,California,147366.0
2873,Jared Jeffries,211.0,104.0,Indiana University,1981.0,Bloomington,Indiana,89467.0
2874,Fred Jones,193.0,95.0,University of Oregon,1979.0,Malvern,Arkansas,75807.0
2875,Sean Lampley,201.0,102.0,University of California,1979.0,Harvey,Illinois,204659.0
2876,Tito Maddox,193.0,86.0,"California State University, Fresno",1981.0,Compton,California,100065.0
2877,Roger Mason,196.0,90.0,University of Virginia,1980.0,Washington,District of Columbia,175808.0
2878,Yao Ming*,229.0,140.0,,1980.0,Shanghai,China,48615.0
2879,Ronald Murray,193.0,86.0,Shaw University,1979.0,Philadelphia,Pennsylvania,201910.0
2880,Bostjan Nachbar,206.0,100.0,,1980.0,Slovenj Gradec,Slovenia,134724.0
2881,Mehmet Okur,211.0,112.0,,1979.0,Yalova,Turkey,67654.0
2882,Chris Owens,201.0,111.0,University of Texas at Austin,1979.0,Akron,Ohio,235552.0
2883,Jannero Pargo,185.0,79.0,University of Arkansas,1979.0,Chicago,Illinois,16125.0
2884,Smush Parker,193.0,86.0,Fordham University,1981.0,New York,New York,148976.0
2885,Tayshaun Prince,206.0,96.0,University of Kentucky,1980.0,Compton,California,44037.0
2886,Igor Rakocevic,190.0,83.0,,1978.0,Belgrade,Serbia,111442.0
2887,Efthimi Rentzias,211.0,113.0,,1976.0,Trikala,Greece,159868.0
2888,Antoine Rigaudeau,201.0,95.0,,1971.0,Cholet,France,249235.0
2889,Guy Rucker,211.0,120.0,University of Iowa,1977.0,Inkster,Michigan,144336.0
2890,Kareem Rush,198.0,97.0,University of Missouri,1980.0,Kansas City,Missouri,236726.0
2891,John Salmons,201.0,95.0,University of Miami,1979.0,Philadelphia,Pennsylvania,150679.0
2892,Jamal Sampson,211.0,106.0,University of California,1983.0,Inglewood,California,158805.0
2893,Predrag Savovic,198.0,102.0,University of Hawaii,1976.0,Pula,Croatia,28033.0
2894,Paul Shirley,208.0,104.0,Iowa State University,1977.0,Meriden,Kansas,66063.0
2895,Tamar Slay,203.0,97.0,Marshall University,1980.0,Beckley,West Virginia,56946.0
2896,Amar'e Stoudemire,208.0,111.0,,1982.0,Lake Wales,Florida,223792.0
2897,Cezary Trybanski,218.0,108.0,,1979.0,Warsaw,Poland,24992.0
2898,Nikoloz Tskitishvili,213.0,102.0,,1983.0,Tbilisi,Georgia,247669.0
2899,Dajuan Wagner,183.0,77.0,University of Texas at Austin,1922.0,,,49684.0
2900,Jiri Welsch,201.0,94.0,,1980.0,Pardubice,Czech Republic,200659.0
2901,Chris Wilcox,208.0,100.0,University of Maryland,1982.0,Raleigh,North Carolina,71349.0
2902,Mike Wilks,178.0,83.0,Rice University,1979.0,Milwaukee,Wisconsin,140134.0
2903,Frank Williams,193.0,86.0,Portland State University,1956.0,Los Angeles,California,17696.0
2904,Jay Williams,206.0,108.0,St. John's University,1968.0,Ritter,South Carolina,187776.0
2905,Qyntel Woods,203.0,100.0,Northeast Mississippi Community College,1981.0,Memphis,Tennessee,166504.0
2906,Vincent Yarbrough,201.0,95.0,University of Tennessee,1981.0,Cleveland,Tennessee,134735.0
2907,Carmelo Anthony,203.0,108.0,Syracuse University,1984.0,New York,New York,156974.0
2908,Marcus Banks,188.0,90.0,"University of Nevada, Las Vegas",1981.0,Las Vegas,Nevada,86579.0
2909,Leandro Barbosa,190.0,87.0,,1982.0,San Paulo,Brazil,31726.0
2910,Matt Barnes,203.0,95.0,Providence College,1952.0,Providence,Rhode Island,201385.0
2911,Jerome Beasley,208.0,107.0,University of North Dakota,1980.0,Compton,California,121417.0
2912,Troy Bell,185.0,81.0,Boston College,1980.0,Minneapolis,Minnesota,116670.0
2913,Steve Blake,190.0,78.0,University of Maryland,1980.0,Hollywood,Florida,172755.0
2914,Keith Bogans,196.0,97.0,University of Kentucky,1980.0,Alexandria,Virginia,217813.0
2915,Curtis Borchardt,213.0,108.0,Stanford University,1980.0,Buffalo,New York,91039.0
2916,Chris Bosh,211.0,106.0,Georgia Institute of Technology,1984.0,Dallas,Texas,56481.0
2917,Torraye Braggs,203.0,111.0,Xavier University,1976.0,Fresno,California,19718.0
2918,Zarko Cabarkapa,211.0,106.0,,1981.0,Zrenjanin,Serbia,115901.0
2919,Matt Carroll,198.0,96.0,University of Notre Dame,1980.0,Pittsburgh,Pennsylvania,212409.0
2920,Maurice Carter,196.0,95.0,Louisiana State University,1976.0,Jackson,Mississippi,71616.0
2921,Brian Cook,206.0,106.0,University of Illinois at Urbana-Champaign,1980.0,Lincoln,Illinois,147535.0
2922,Omar Cook,185.0,86.0,St. John's University,1982.0,Brooklyn,New York,157497.0
2923,Marquis Daniels,198.0,90.0,Auburn University,1981.0,Jasper,Florida,155951.0
2924,Josh Davis,188.0,77.0,University of Dayton,1955.0,Detroit,Michigan,216428.0
2925,Boris Diaw,203.0,113.0,,1982.0,Cormeille-en-Parisis,France,20224.0
2926,Kaniel Dickens,203.0,97.0,University of Idaho,1978.0,Denver,Colorado,85073.0
2927,Ronald Dupree,201.0,94.0,Louisiana State University,1981.0,Biloxi,Mississippi,212373.0
2928,Ndudi Ebi,206.0,90.0,,1984.0,London,United Kingdom,220253.0
2929,Francisco Elson,213.0,106.0,University of California,1976.0,Rotterdam,Netherlands,125558.0
2930,Desmond Ferguson,201.0,92.0,University of Detroit Mercy,1977.0,Lansing,Michigan,184800.0
2931,T.J. Ford,201.0,92.0,,1977.0,,,210530.0
2932,Richie Frahm,196.0,95.0,Gonzaga University,1977.0,Battle Ground,Washington,177529.0
2933,Hiram Fuller,206.0,108.0,"California State University, Fresno",1981.0,East St. Louis,Missouri,22331.0
2934,Reece Gaines,198.0,92.0,University of Louisville,1981.0,Madison,Wisconsin,37625.0
2935,Alex Garcia,190.0,99.0,,1980.0,Orlandia,Brazil,99116.0
2936,Willie Green,193.0,90.0,University of Detroit Mercy,1981.0,Detroit,Michigan,219293.0
2937,Ben Handlogten,208.0,108.0,Western Michigan University,1973.0,Grand Rapids,Michigan,99049.0
2938,Travis Hansen,198.0,92.0,Brigham Young University,1978.0,Provo,Utah,207670.0
2939,Udonis Haslem,203.0,106.0,University of Florida,1980.0,Miami,Florida,148746.0
2940,Jarvis Hayes,201.0,99.0,University of Georgia,1981.0,Atlanta,Georgia,137836.0
2941,Kirk Hinrich,193.0,86.0,University of Kansas,1981.0,Sioux City,Iowa,16904.0
2942,Josh Howard,201.0,95.0,Wake Forest University,1980.0,Winston-Salem,North Carolina,130116.0
2943,Brandon Hunter,201.0,117.0,Ohio University,1980.0,Cincinnati,Ohio,165407.0
2944,LeBron James,203.0,113.0,,1984.0,Akron,Ohio,117709.0
2945,Britton Johnsen,208.0,95.0,University of Utah,1979.0,Salt Lake City,Utah,114568.0
2946,Linton Johnson,203.0,92.0,Tulane University,1980.0,Chicago,Illinois,23969.0
2947,Dahntay Jones,190.0,83.0,University of Houston,1976.0,Galveston,Texas,135107.0
2948,James Jones,190.0,81.0,Assumption College,1949.0,,,154684.0
2949,Chris Kaman,213.0,120.0,Central Michigan University,1982.0,Wyoming,Michigan,230440.0
2950,Jason Kapono,203.0,96.0,"University of California, Los Angeles",1981.0,Long Beach,California,165299.0
2951,Kyle Korver,201.0,96.0,Creighton University,1981.0,Lakewood,California,58724.0
2952,Maciej Lampe,211.0,124.0,,1985.0,Lodz,Poland,122818.0
2953,Raul Lopez,185.0,77.0,,1980.0,Vic,Spain,35791.0
2954,Keith McLeod,188.0,85.0,Bowling Green State University,1979.0,Canton,Ohio,126095.0
2955,Darko Milicic,213.0,113.0,,1985.0,Novi Sad,Serbia,161697.0
2956,Travis Outlaw,206.0,95.0,,1984.0,Starkville,Mississippi,146332.0
2957,Zaza Pachulia,211.0,122.0,,1984.0,Tbilisi,Georgia,131488.0
2958,Sasha Pavlovic,211.0,122.0,,1984.0,,,18603.0
2959,Desmond Penigar,201.0,111.0,Utah State University,1981.0,Upland,California,141416.0
2960,Kirk Penney,196.0,99.0,University of Wisconsin,1980.0,Auckland,New Zealand,191068.0
2961,Kendrick Perkins,208.0,122.0,,1984.0,Nederland,Texas,247170.0
2962,Mickael Pietrus,198.0,97.0,,1982.0,Les Abymes,Guadeloupe,158612.0
2963,Zoran Planinic,201.0,88.0,,1982.0,Mostar,Bosnia and Herzegovina,92784.0
2964,Luke Ridnour,188.0,79.0,University of Oregon,1981.0,Coeur d'Alene,Idaho,125102.0
2965,Theron Smith,203.0,102.0,Ball State University,1980.0,Bartow,Florida,35999.0
2966,Darius Songaila,206.0,112.0,Wake Forest University,1978.0,Marijampole,Lithuania,116790.0
2967,Mike Sweetney,203.0,124.0,Georgetown University,1982.0,Oxon Hill,Maryland,20571.0
2968,Ime Udoka,198.0,97.0,Portland State University,1977.0,Portland,Oregon,118934.0
2969,Slavko Vranes,226.0,124.0,,1983.0,Belgrade,Serbia,232627.0
2970,Dwyane Wade,193.0,99.0,Marquette University,1982.0,Chicago,Illinois,89011.0
2971,Luke Walton,203.0,106.0,University of Arizona,1980.0,San Diego,California,55019.0
2972,David West,206.0,113.0,Xavier University,1980.0,Teaneck,New Jersey,210663.0
2973,Mo Williams,203.0,102.0,University of Notre Dame,1971.0,Fredericksburg,Virginia,53918.0
2974,Tony Allen,193.0,96.0,Oklahoma State University,1982.0,Chicago,Illinois,230865.0
2975,Rafael Araujo,211.0,127.0,Brigham Young University,1980.0,Curitiba,Brazil,225668.0
2976,Trevor Ariza,203.0,97.0,"University of California, Los Angeles",1985.0,Miami,Florida,158345.0
2977,Maurice Baker,185.0,79.0,Oklahoma State University,1979.0,Granite City,Illinois,138819.0
2978,Andre Barrett,178.0,78.0,Seton Hall University,1982.0,Bronx,New York,54100.0
2979,Andris Biedrins,211.0,108.0,,1986.0,Riga,Latvia,159801.0
2980,Tony Bobbitt,193.0,86.0,University of Cincinnati,1979.0,Daytona,Florida,115063.0
2981,Matt Bonner,208.0,106.0,University of Florida,1980.0,Concord,New Hampshire,233254.0
2982,Antonio Burks,185.0,90.0,University of Memphis,1980.0,Memphis,Tennessee,49325.0
2983,Jackie Butler,208.0,113.0,,1985.0,McComb,Mississippi,76596.0
2984,Geno Carlisle,190.0,81.0,University of California,1976.0,Grand Rapids,Michigan,116699.0
2985,Lionel Chalmers,183.0,81.0,Xavier University,1980.0,Albany,New York,65564.0
2986,Josh Childress,203.0,95.0,Stanford University,1983.0,Harbor City,California,237942.0
2987,Nick Collison,208.0,115.0,University of Kansas,1980.0,Orange City,Iowa,128670.0
2988,Erik Daniels,203.0,97.0,University of Kentucky,1982.0,Cincinnati,Ohio,230179.0
2989,Carlos Delfino,198.0,104.0,,1982.0,Santa Fe,Argentina,249435.0
2990,Luol Deng,206.0,99.0,Duke University,1985.0,Wow,South Sudan,142678.0
2991,Chris Duhon,185.0,83.0,Duke University,1982.0,Mamou,Louisiana,196821.0
2992,Corsley Edwards,206.0,124.0,Central Connecticut State University,1979.0,Baltimore,Maryland,149914.0
2993,John Edwards,213.0,124.0,Kent State University,1981.0,Warren,Ohio,154839.0
2994,Andre Emmett,196.0,104.0,Texas Tech University,1982.0,Dallas,Texas,128328.0
2995,Luis Flores,188.0,90.0,Manhattan College,1981.0,San Pedro de Macoris,Dominican Republic,173389.0
2996,Matt Freije,208.0,108.0,Vanderbilt University,1981.0,Overland Park,Kansas,103489.0
2997,Ben Gordon,190.0,90.0,University of Connecticut,1983.0,London,United Kingdom,78450.0
2998,Devin Harris,190.0,87.0,University of Wisconsin,1983.0,Milwaukee,Wisconsin,121634.0
2999,David Harrison,213.0,127.0,University of Colorado,1982.0,Nashville,Tennessee,246183.0
3000,Dwight Howard,211.0,120.0,,1985.0,Atlanta,Georgia,82737.0
3001,Kris Humphries,206.0,106.0,University of Minnesota,1985.0,Minneapolis,Minnesota,52593.0
3002,Andre Iguodala,198.0,97.0,University of Arizona,1984.0,Springfield,Illinois,117147.0
3003,Didier Ilunga-Mbenga,198.0,97.0,,1984.0,,,197897.0
3004,Royal Ivey,190.0,90.0,University of Texas at Austin,1981.0,Harlem,New York,239072.0
3005,Al Jefferson,208.0,131.0,,1985.0,Monticello,Mississippi,69319.0
3006,Horace Jenkins,185.0,81.0,William Paterson University,1974.0,Elizabeth,New Jersey,39220.0
3007,Mario Kasun,216.0,117.0,,1980.0,Split,Croatia,239809.0
3008,Viktor Khryapa,206.0,95.0,,1982.0,Kiev,Ukraine,41337.0
3009,Brandin Knight,178.0,78.0,Stanford University,1975.0,Livingston,New Jersey,225489.0
3010,Nenad Krstic,213.0,108.0,,1983.0,Kraljevo,Serbia,157795.0
3011,Ibo Kutluay,198.0,90.0,,1974.0,Istanbul,Turkey,59262.0
3012,Shaun Livingston,201.0,87.0,,1985.0,Peoria,Illinois,54293.0
3013,Kevin Martin,206.0,106.0,University of Cincinnati,1977.0,Saginaw,Michigan,237020.0
3014,Jameer Nelson,183.0,86.0,Saint Joseph's University,1982.0,Chester,Pennsylvania,166668.0
3015,Andres Nocioni,201.0,102.0,,1979.0,Santa Fe,Argentina,221767.0
3016,Emeka Okafor,208.0,114.0,University of Connecticut,1982.0,Houston,Texas,81691.0
3017,Pavel Podkolzin,226.0,117.0,,1985.0,Novosibirsk,Russia,141821.0
3018,Peter John,226.0,117.0,,1985.0,,,184053.0
3019,Justin Reed,203.0,108.0,University of Mississippi,1982.0,Jackson,Mississippi,113672.0
3020,Jared Reiner,211.0,115.0,University of Iowa,1982.0,Tripp,South Dakota,182844.0
3021,Bernard Robinson,198.0,95.0,University of Michigan,1980.0,Washington,District of Columbia,62775.0
3022,Quinton Ross,198.0,88.0,Southern Methodist University,1981.0,Dallas,Texas,178723.0
3023,Ha Seung-Jin,221.0,138.0,,1985.0,Seoul,Republic of Korea,245017.0
3024,Donta Smith,188.0,86.0,University of Minnesota,1920.0,Minnesota,,159612.0
3025,J.R. Smith,188.0,86.0,,1920.0,,,24523.0
3026,Josh Smith,213.0,106.0,University of Southern Colorado,1944.0,Columbus,Mississippi,51916.0
3027,Kirk Snyder,198.0,102.0,"University of Nevada, Reno",1983.0,Los Angeles,California,168303.0
3028,Pape Sow,208.0,113.0,"California State University, Fullerton",1981.0,Dakar,Senegal,245400.0
3029,Awvee Storey,198.0,100.0,Arizona State University,1977.0,Chicago,Illinois,84727.0
3030,Robert Swift,213.0,111.0,,1985.0,Bakersfield,California,140483.0
3031,Yuta Tabuse,175.0,74.0,Brigham Young University Hawaii,1980.0,Yokohama,Japan,77522.0
3032,Sebastian Telfair,183.0,74.0,,1985.0,Brooklyn,New York,130736.0
3033,Billy Thomas,193.0,94.0,University of Kansas,1975.0,Shreveport,Louisiana,147151.0
3034,James Thomas,198.0,97.0,Providence College,1973.0,Brooklyn,New York,98163.0
3035,Beno Udrih,190.0,92.0,,1982.0,Celje,Slovenia,192276.0
3036,Anderson Varejao,208.0,123.0,,1982.0,Santa Teresa,Brazil,131847.0
3037,Jackson Vroman,208.0,99.0,Iowa State University,1981.0,Laguna,California,127474.0
3038,Sasha Vujacic,201.0,88.0,,1984.0,Maribor,Slovenia,88508.0
3039,Delonte West,193.0,81.0,Saint Joseph's University,1983.0,Washington,District of Columbia,144557.0
3040,Damien Wilkins,208.0,99.0,Idaho State University,1960.0,Pocatello,Idaho,100440.0
3041,Dorell Wright,206.0,92.0,,1985.0,Los Angeles,California,89308.0
3042,Alex Acker,196.0,83.0,Pepperdine University,1983.0,Compton,California,201912.0
3043,Alan Anderson,198.0,99.0,Michigan State University,1982.0,Minneapolis,Minnesota,169959.0
3044,Martynas Andriuskevicius,218.0,108.0,,1986.0,Kaunas,Lithuania,26358.0
3045,Earl Barron,213.0,113.0,University of Memphis,1981.0,Clarksdale,Mississippi,221188.0
3046,Eddie Basden,196.0,97.0,University of North Carolina at Charlotte,1983.0,New York,New York,35145.0
3047,Brandon Bass,203.0,113.0,Louisiana State University,1985.0,Baton Rouge,Louisiana,141638.0
3048,Esteban Batista,208.0,122.0,,1983.0,Montevideo,Uruguay,147216.0
3049,Andray Blatche,211.0,106.0,,1986.0,Syracuse,New York,48882.0
3050,Andrew Bogut,213.0,117.0,University of Utah,1984.0,Melbourne,Australia,198304.0
3051,Kevin Burleson,190.0,92.0,University of Minnesota,1979.0,Seattle,Washington,56531.0
3052,Andrew Bynum,213.0,129.0,,1987.0,Plainsboro,New Jersey,151250.0
3053,Will Bynum,183.0,83.0,Georgia Institute of Technology,1983.0,Chicago,Illinois,143231.0
3054,Jose Calderon,190.0,90.0,,1981.0,Villanueva de la Serena,Spain,125754.0
3055,Travis Diener,185.0,79.0,Marquette University,1982.0,Fond du Lac,Wisconsin,87406.0
3056,Ike Diogu,203.0,113.0,Arizona State University,1983.0,Buffalo,New York,115821.0
3057,Monta Ellis,190.0,83.0,,1985.0,Jackson,Mississippi,25959.0
3058,Daniel Ewing,190.0,83.0,Duke University,1983.0,Milton,Florida,37277.0
3059,Noel Felix,206.0,102.0,"California State University, Fresno",1981.0,Los Angeles,California,22998.0
3060,Raymond Felton,185.0,92.0,University of North Carolina,1984.0,Marion,South Carolina,92876.0
3061,Gerald Fitch,190.0,85.0,University of Kentucky,1982.0,Columbus,Georgia,95969.0
3062,Sharrod Ford,201.0,95.0,University of Illinois at Chicago,1972.0,Baton Rouge,Louisiana,96936.0
3063,Channing Frye,211.0,115.0,University of Arizona,1983.0,White Plains,New York,60339.0
3064,Deng Gai,206.0,113.0,Fairfield University,1982.0,Wow,South Sudan,74704.0
3065,Francisco Garcia,201.0,88.0,University of Louisville,1981.0,Santo Domingo,Dominican Republic,219068.0
3066,Ryan Gomes,201.0,113.0,Providence College,1982.0,Waterbury,Connecticut,92756.0
3067,Joey Graham,201.0,102.0,Oklahoma State University,1982.0,Wilmington,Delaware,28667.0
3068,Stephen Graham,198.0,97.0,Oklahoma State University,1982.0,Wilmington,Delaware,151211.0
3069,Danny Granger,206.0,100.0,University of New Mexico,1983.0,New Orleans,Louisiana,103426.0
3070,Devin Green,201.0,95.0,Hampton University,1982.0,Columbus,Ohio,67906.0
3071,Gerald Green,201.0,92.0,,1986.0,Houston,Texas,96552.0
3072,Orien Greene,193.0,94.0,University of Louisiana at Lafayette,1982.0,Gainesville,Florida,193240.0
3073,Anthony Grundy,190.0,81.0,North Carolina State University,1979.0,Louisville,Kentucky,43105.0
3074,Chuck Hayes,198.0,108.0,University of Kentucky,1983.0,San Leandro,California,72110.0
3075,Luther Head,190.0,83.0,University of Illinois at Urbana-Champaign,1982.0,Chicago,Illinois,96464.0
3076,Julius Hodge,201.0,95.0,North Carolina State University,1983.0,New York,New York,51638.0
3077,Randy Holcomb,206.0,102.0,San Diego State University,1979.0,Chicago,Illinois,242288.0
3078,Jarrett Jack,190.0,90.0,Georgia Institute of Technology,1983.0,Fort Washington,Maryland,130704.0
3079,Sarunas Jasikevicius,193.0,88.0,University of Maryland,1976.0,Kaunas,Lithuania,82666.0
3080,Amir Johnson,206.0,108.0,,1987.0,Los Angeles,California,167904.0
3081,Dwayne Jones,208.0,95.0,University of Houston,1952.0,Houston,Texas,179460.0
3082,Linas Kleiza,203.0,111.0,University of Missouri,1985.0,Kaunas,Lithuania,89332.0
3083,Yaroslav Korolev,206.0,92.0,,1987.0,Moscow,Russia,229669.0
3084,David Lee,201.0,102.0,University of San Francisco,1942.0,Modesto,California,45041.0
3085,Arvydas Macijauskas,193.0,97.0,,1980.0,Klaipeda,Lithuania,100971.0
3086,Rawle Marshall,206.0,86.0,Oakland University,1982.0,Georgetown,Guyana,36157.0
3087,Jason Maxiell,201.0,117.0,University of Cincinnati,1983.0,Chicago,Illinois,75515.0
3088,Sean May,206.0,120.0,University of North Carolina,1984.0,Chicago,Illinois,57181.0
3089,Rashad McCants,193.0,93.0,University of North Carolina,1984.0,Asheville,North Carolina,133294.0
3090,Aaron Miles,185.0,79.0,University of Kansas,1983.0,Portland,Oregon,206012.0
3091,C.J. Miles,185.0,79.0,,1983.0,,,129945.0
3092,Sergei Monia,203.0,99.0,,1983.0,Saratov,Russia,48185.0
3093,Boniface N'Dong,213.0,89.0,,1977.0,Dakar,Senegal,239709.0
3094,Fabricio Oberto,208.0,111.0,,1975.0,Las Varillas,Argentina,244066.0
3095,Andre Owens,193.0,90.0,University of Houston,1980.0,Indianapolis,Indiana,161339.0
3096,Chris Paul,183.0,79.0,Wake Forest University,1985.0,Winston-Salem,North Carolina,248308.0
3097,Johan Petro,213.0,112.0,,1986.0,Paris,France,51245.0
3098,Josh Powell,206.0,102.0,North Carolina State University,1983.0,Charleston,South Carolina,192866.0
3099,Ronnie Price,188.0,86.0,Utah Valley State College,1983.0,Friendswood,Texas,46760.0
3100,Shavlik Randolph,208.0,108.0,Duke University,1983.0,Raleigh,North Carolina,102809.0
3101,Anthony Roberson,196.0,83.0,Oral Roberts University,1955.0,Chattanooga,Tennessee,145775.0
3102,Lawrence Roberts,206.0,108.0,Mississippi State University,1982.0,Houston,Texas,143828.0
3103,Nate Robinson,175.0,81.0,University of Washington,1984.0,Seattle,Washington,114432.0
3104,Melvin Sanders,196.0,95.0,Oklahoma State University,1981.0,Liberal,Kansas,234061.0
3105,Alex Scales,193.0,83.0,University of Oregon,1978.0,Racine,Wisconsin,118620.0
3106,Luke Schenscher,216.0,115.0,Georgia Institute of Technology,1982.0,Hope Forest,Australia,94734.0
3107,Wayne Simien,206.0,115.0,University of Kansas,1983.0,Leavenworth,Kansas,144592.0
3108,James Singleton,203.0,97.0,Murray State University,1981.0,Chicago,Illinois,19226.0
3109,Salim Stoudamire,185.0,81.0,University of Arizona,1982.0,Portland,Oregon,199271.0
3110,Chris Taft,208.0,117.0,University of Pittsburgh,1985.0,Brooklyn,New York,249131.0
3111,Donell Taylor,198.0,81.0,University of Alabama at Birmingham,1982.0,Washington,District of Columbia,187085.0
3112,Dijon Thompson,201.0,88.0,"University of California, Los Angeles",1983.0,Los Angeles,California,146405.0
3113,Ronny Turiaf,208.0,112.0,Gonzaga University,1983.0,Le Robert,Martinique,162356.0
3114,Charlie Villanueva,211.0,105.0,University of Connecticut,1984.0,Queens,New York,132669.0
3115,Von Wafer,196.0,95.0,Florida State University,1985.0,Homer,Louisiana,131394.0
3116,Matt Walsh,198.0,92.0,University of Florida,1982.0,Holland,Pennsylvania,65979.0
3117,Hakim Warrick,206.0,99.0,Syracuse University,1982.0,Philadelphia,Pennsylvania,201295.0
3118,Martell Webster,216.0,102.0,Morgan State University,1952.0,Baltimore,Maryland,160185.0
3119,Robert Whaley,208.0,117.0,Walsh University,1982.0,Benton Harbor,Michigan,23900.0
3120,Deron Williams,190.0,90.0,University of Illinois at Urbana-Champaign,1984.0,Parkersburg,West Virginia,32164.0
3121,Lou Williams,206.0,90.0,Stetson University,1969.0,Ocala,Florida,112088.0
3122,Marvin Williams,185.0,89.0,University of Alabama,1982.0,Jackson,Mississippi,231873.0
3123,Antoine Wright,201.0,95.0,Texas A&M University,1984.0,West Covina,California,130038.0
3124,Bracey Wright,211.0,102.0,"University of California, Los Angeles",1962.0,Hollywood,California,138889.0
3125,Derrick Zimmerman,190.0,88.0,Mississippi State University,1981.0,Monroe,Louisiana,155059.0
3126,Hassan Adams,193.0,99.0,University of Arizona,1984.0,Inglewood,California,227366.0
3127,Maurice Ager,196.0,91.0,Michigan State University,1984.0,Detroit,Michigan,15465.0
3128,LaMarcus Aldridge,211.0,117.0,University of Texas at Austin,1985.0,Dallas,Texas,174678.0
3129,Lou Amundson,206.0,99.0,"University of Nevada, Las Vegas",1982.0,Ventura,California,167258.0
3130,Hilton Armstrong,211.0,106.0,University of Connecticut,1984.0,Peekskill,New York,160615.0
3131,James Augustine,208.0,106.0,University of Illinois at Urbana-Champaign,1984.0,Midlothian,Illinois,234551.0
3132,Kelenna Azubuike,196.0,99.0,University of Kentucky,1983.0,London,United Kingdom,239044.0
3133,Renaldo Balkman,203.0,94.0,University of South Carolina,1984.0,Staten Island,New York,153626.0
3134,J.J. Barea,203.0,94.0,,1984.0,,,210353.0
3135,Andrea Bargnani,213.0,111.0,,1985.0,Rome,Italy,225394.0
3136,Will Blalock,183.0,92.0,Iowa State University,1983.0,Boston,Massachusetts,80718.0
3137,Josh Boone,208.0,107.0,University of Connecticut,1984.0,Mount Airy,Maryland,112565.0
3138,Cedric Bozeman,198.0,93.0,"University of California, Los Angeles",1983.0,Los Angeles,California,17600.0
3139,Ronnie Brewer,193.0,81.0,University of Arkansas,1955.0,Fort Smith,Arkansas,56518.0
3140,Andre Brown,206.0,111.0,DePaul University,1981.0,Chicago,Illinois,150550.0
3141,Shannon Brown,193.0,92.0,Michigan State University,1985.0,Maywood,Illinois,149810.0
3142,Rodney Carney,201.0,92.0,University of Memphis,1984.0,Memphis,Tennessee,71635.0
3143,Mardy Collins,198.0,99.0,Temple University,1984.0,Philadelphia,Pennsylvania,153192.0
3144,Will Conroy,188.0,88.0,University of Washington,1982.0,Portland,Oregon,142214.0
3145,Paul Davis,211.0,122.0,Michigan State University,1984.0,Detroit,Michigan,246001.0
3146,Yakhouba Diawara,201.0,102.0,Pepperdine University,1982.0,Paris,France,41732.0
3147,Quincy Douby,190.0,79.0,Rutgers University,1984.0,Brooklyn,New York,199534.0
3148,Jordan Farmar,188.0,81.0,"University of California, Los Angeles",1986.0,Los Angeles,California,240637.0
3149,Desmon Farmer,196.0,99.0,University of Southern California,1981.0,Flint,Michigan,166229.0
3150,Randy Foye,193.0,96.0,Villanova University,1983.0,Newark,New Jersey,93478.0
